UseLife,UseSD,InitRm,Period,PerBeg,PerEnd,PerInitRm,PerMidRm,PerEndRm,PerDatedRm,TargRm,Rate
 25,  0.0,   12,1,  900,  950,   12,   16,      20,      38,   38,   1.069
 25,  0.0,   12,2,  950, 1050,   20,   26,      33,     105,  105,   0.481
 25,  0.0,   12,3, 1050, 1125,   33,   32,      32,      97,   97,  -0.053
 25,  0.0,   12,4, 1125, 1175,   32,   60,     115,     129,  129,   2.618
 25,  0.0,   12,5, 1175, 1225,  115,  158,     218,     323,  323,   1.276
 25,  0.0,   12,6, 1225, 1275,  218,  189,     164,     468,  468,  -0.569
 25,  0.0,   13,1,  900,  950,   13,   16,      19,      38,   38,   0.712
 25,  0.0,   13,2,  950, 1050,   19,   26,      36,     105,  105,   0.658
 25,  0.0,   13,3, 1050, 1125,   36,   32,      29,      97,   97,  -0.266
 25,  0.0,   13,4, 1125, 1175,   29,   60,     122,     129,  129,   2.897
 25,  0.0,   13,5, 1175, 1225,  122,  159,     208,     323,  323,   1.071
 25,  0.0,   13,6, 1225, 1275,  208,  187,     169,     468,  468,  -0.412
 25,  0.0,   14,1,  900,  950,   14,   15,      17,      38,   38,   0.370
 25,  0.0,   14,2,  950, 1050,   17,   25,      38,     105,  105,   0.830
 25,  0.0,   14,3, 1050, 1125,   38,   32,      27,      97,   97,  -0.470
 25,  0.0,   14,4, 1125, 1175,   27,   59,     129,     129,  129,   3.168
 25,  0.0,   14,5, 1175, 1225,  129,  160,     199,     323,  323,   0.874
 25,  0.0,   14,6, 1225, 1275,  199,  186,     174,     468,  468,  -0.265
