Approach,Year,Rate
Modeled,1000,0.72
Modeled,1050,0.72
Modeled,1050,0.63
Modeled,1125,0.63
Modeled,1125,-2.12
Modeled,1175,-2.12
Modeled,1175,5.95
Modeled,1225,5.95
Modeled,1225,-2.55
Modeled,1275,-2.55
Compound Interest,1025,0.36
Compound Interest,1087.5,0.36
Compound Interest,1087.5,-0.459
Compound Interest,1150,-0.459
Compound Interest,1150,2.334
Compound Interest,1200,2.334
Compound Interest,1200,1.726
Compound Interest,1250,1.726
