UseLife,UseSD,InitRm,Year,OccRm
 25,  0.0,   27, 1271,125
 25,  0.0,   27, 1272,122
 25,  0.0,   27, 1273,119
 25,  0.0,   27, 1274,116
 25,  0.0,   27, 1275,114
 25,  0.0,   28,
 25,  0.0,   28, 1001,28
 25,  0.0,   28, 1002,28
 25,  0.0,   28, 1003,29
 25,  0.0,   28, 1004,29
 25,  0.0,   28, 1005,29
 25,  0.0,   28, 1006,29
 25,  0.0,   28, 1007,29
 25,  0.0,   28, 1008,30
 25,  0.0,   28, 1009,30
 25,  0.0,   28, 1010,30
 25,  0.0,   28, 1011,30
 25,  0.0,   28, 1012,31
 25,  0.0,   28, 1013,31
 25,  0.0,   28, 1014,31
 25,  0.0,   28, 1015,31
 25,  0.0,   28, 1016,31
 25,  0.0,   28, 1017,32
 25,  0.0,   28, 1018,32
 25,  0.0,   28, 1019,32
 25,  0.0,   28, 1020,32
 25,  0.0,   28, 1021,33
 25,  0.0,   28, 1022,33
 25,  0.0,   28, 1023,33
 25,  0.0,   28, 1024,33
 25,  0.0,   28, 1025,34
 25,  0.0,   28, 1026,34
 25,  0.0,   28, 1027,34
 25,  0.0,   28, 1028,34
 25,  0.0,   28, 1029,35
 25,  0.0,   28, 1030,35
 25,  0.0,   28, 1031,35
 25,  0.0,   28, 1032,35
 25,  0.0,   28, 1033,36
 25,  0.0,   28, 1034,36
 25,  0.0,   28, 1035,36
 25,  0.0,   28, 1036,36
 25,  0.0,   28, 1037,37
 25,  0.0,   28, 1038,37
 25,  0.0,   28, 1039,37
 25,  0.0,   28, 1040,37
 25,  0.0,   28, 1041,38
 25,  0.0,   28, 1042,38
 25,  0.0,   28, 1043,38
 25,  0.0,   28, 1044,38
 25,  0.0,   28, 1045,39
 25,  0.0,   28, 1046,39
 25,  0.0,   28, 1047,39
 25,  0.0,   28, 1048,40
 25,  0.0,   28, 1049,40
 25,  0.0,   28, 1050,40
 25,  0.0,   28, 1051,40
 25,  0.0,   28, 1052,41
 25,  0.0,   28, 1053,41
 25,  0.0,   28, 1054,41
 25,  0.0,   28, 1055,41
 25,  0.0,   28, 1056,42
 25,  0.0,   28, 1057,42
 25,  0.0,   28, 1058,42
 25,  0.0,   28, 1059,42
 25,  0.0,   28, 1060,43
 25,  0.0,   28, 1061,43
 25,  0.0,   28, 1062,43
 25,  0.0,   28, 1063,44
 25,  0.0,   28, 1064,44
 25,  0.0,   28, 1065,44
 25,  0.0,   28, 1066,44
 25,  0.0,   28, 1067,45
 25,  0.0,   28, 1068,45
 25,  0.0,   28, 1069,45
 25,  0.0,   28, 1070,46
 25,  0.0,   28, 1071,46
 25,  0.0,   28, 1072,46
 25,  0.0,   28, 1073,46
 25,  0.0,   28, 1074,47
 25,  0.0,   28, 1075,47
 25,  0.0,   28, 1076,47
 25,  0.0,   28, 1077,48
 25,  0.0,   28, 1078,48
 25,  0.0,   28, 1079,48
 25,  0.0,   28, 1080,48
 25,  0.0,   28, 1081,49
 25,  0.0,   28, 1082,49
 25,  0.0,   28, 1083,49
 25,  0.0,   28, 1084,50
 25,  0.0,   28, 1085,50
 25,  0.0,   28, 1086,50
 25,  0.0,   28, 1087,51
 25,  0.0,   28, 1088,51
 25,  0.0,   28, 1089,51
 25,  0.0,   28, 1090,52
 25,  0.0,   28, 1091,52
 25,  0.0,   28, 1092,52
 25,  0.0,   28, 1093,53
 25,  0.0,   28, 1094,53
 25,  0.0,   28, 1095,53
 25,  0.0,   28, 1096,54
 25,  0.0,   28, 1097,54
 25,  0.0,   28, 1098,54
 25,  0.0,   28, 1099,55
 25,  0.0,   28, 1100,55
 25,  0.0,   28, 1101,55
 25,  0.0,   28, 1102,56
 25,  0.0,   28, 1103,56
 25,  0.0,   28, 1104,56
 25,  0.0,   28, 1105,57
 25,  0.0,   28, 1106,57
 25,  0.0,   28, 1107,57
 25,  0.0,   28, 1108,58
 25,  0.0,   28, 1109,58
 25,  0.0,   28, 1110,58
 25,  0.0,   28, 1111,59
 25,  0.0,   28, 1112,59
 25,  0.0,   28, 1113,60
 25,  0.0,   28, 1114,60
 25,  0.0,   28, 1115,60
 25,  0.0,   28, 1116,61
 25,  0.0,   28, 1117,61
 25,  0.0,   28, 1118,61
 25,  0.0,   28, 1119,62
 25,  0.0,   28, 1120,62
 25,  0.0,   28, 1121,63
 25,  0.0,   28, 1122,63
 25,  0.0,   28, 1123,63
 25,  0.0,   28, 1124,64
 25,  0.0,   28, 1125,64
 25,  0.0,   28, 1126,63
 25,  0.0,   28, 1127,61
 25,  0.0,   28, 1128,60
