Approach,Year,Rate
1,1000,0.72
1,1050,0.72
1,1050,0.63
1,1125,0.63
1,1125,-2.12
1,1175,-2.12
1,1175,5.95
1,1225,5.95
1,1225,-2.55
1,1275,-2.55
2,1025,0.36
2,1087.5,0.36
2,1087.5,-0.459
2,1150,-0.459
2,1150,2.334
2,1200,2.334
2,1200,1.726
2,1250,1.726
0,1000,0
0,1275,0
