Approach,Year,Rate
1,900,0.71
1,950,0.71
1,950,0.66
1,1050,0.66
1,1050,-0.27
1,1125,-0.27
1,1125,2.9
1,1175,2.9
1,1175,1.07
1,1225,1.07
1,1225,-0.41
1,1275,-0.41
2,925,0.43
2,1000,0.43
2,1000,0.24
2,1087.5,0.24
2,1087.5,1.11
2,1150,1.11
2,1150,1.86
2,1200,1.86
2,1200,0.74
2,1250,0.74
0,900,0
0,1275,0
